,Open,High,Low,Close,Volume
2025-08-18 09:20:00,3046.407152642574,3046.470288865852,3046.1581287457925,3046.269968079462,47904
2025-08-18 09:25:00,3046.269968079462,3046.418232888218,3045.533911396295,3045.6226258628208,32300
2025-08-18 09:30:00,3045.6226258628208,3045.859839421694,3044.788144529195,3045.0506750276827,27892
2025-08-18 09:35:00,3045.0506750276827,3045.058698826951,3044.15287798253,3044.432039717912,48323
2025-08-18 09:40:00,3044.432039717912,3044.652169774704,3043.883337303894,3044.143797652829,40926
2025-08-18 09:45:00,3044.143797652829,3044.3640882980276,3043.4367499945865,3043.5960637634375,31032
2025-08-18 09:50:00,3043.5960637634375,3043.6481113961345,3042.972230778746,3043.110494362795,38940
2025-08-18 09:55:00,3043.110494362795,3043.339489414364,3042.3460422007643,3042.5911816566777,223636
2025-08-18 10:00:00,3042.5911816566777,3042.7586804117745,3042.1886829830974,3042.2918641172364,50288
2025-08-18 10:05:00,3042.2918641172364,3042.2933364403457,3041.517801669276,3041.6076916608076,48756
2025-08-18 10:10:00,3041.6076916608076,3041.6832495041003,3041.404187047988,3041.591993048737,33021
2025-08-18 10:15:00,3041.591993048737,3041.625652420367,3040.615402330948,3040.7360953332236,43902
2025-08-18 10:20:00,3040.7360953332236,3040.9951231139153,3039.8518992745644,3039.936190866167,41700
2025-08-18 10:25:00,3039.936190866167,3040.0651328164136,3039.765865884085,3039.8898962758662,39829
2025-08-18 10:30:00,3039.8898962758662,3040.1593419035,3039.0084843056557,3039.0245358459592,17214
2025-08-18 10:35:00,3039.0245358459592,3039.191196884245,3038.6316961345665,3038.88950438371,26760
2025-08-18 10:40:00,3038.88950438371,3039.0613088038613,3038.464619856383,3038.4913440714204,32172
2025-08-18 10:45:00,3038.4913440714204,3038.5411526481657,3037.891306021868,3037.9508810193365,27454
2025-08-18 10:50:00,3037.9508810193365,3038.0881913948233,3037.563112411991,3037.564349003216,44892
2025-08-18 10:55:00,3037.564349003216,3037.7236599848684,3036.808165302199,3036.916235871074,28559
2025-08-18 11:00:00,3036.916235871074,3037.1089866559532,3036.7861728566772,3036.8132194821164,44032
2025-08-18 11:05:00,3036.8132194821164,3036.8756180534797,3035.784474425221,3035.8891393190634,37650
2025-08-18 11:10:00,3035.8891393190634,3035.8906766473815,3035.2432181761646,3035.4244999253374,32024
2025-08-18 11:15:00,3035.4244999253374,3035.6175586480103,3035.0238728595177,3035.1202049198782,56727
2025-08-18 11:20:00,3035.1202049198782,3035.124875832942,3034.3674397109685,3034.5085662129877,34951
2025-08-18 11:25:00,3034.5085662129877,3034.7606389449975,3033.848362801928,3033.9573969919443,41793
2025-08-18 11:30:00,3033.9573969919443,3034.1890714723295,3033.2305971899564,3033.399100483745,45093
2025-08-18 11:35:00,3033.399100483745,3033.6366363025877,3032.9461384567517,3033.113645862124,143868
2025-08-18 11:40:00,3033.113645862124,3033.215745612413,3032.6686613242196,3032.7595253282284,39032
2025-08-18 11:45:00,3032.7595253282284,3033.0003369626143,3031.80655791489,3031.911868930667,36333
2025-08-18 11:50:00,3031.911868930667,3031.9270368056855,3031.4649606992425,3031.5490686926737,37008
2025-08-18 11:55:00,3031.5490686926737,3031.7504972304855,3031.179899872011,3031.257700155945,34315
2025-08-18 12:00:00,3031.257700155945,3031.5045495207487,3030.6475092804876,3030.849994760561,42304
2025-08-18 12:05:00,3030.849994760561,3031.10964134226,3030.4108664225696,3030.422554972412,43842
2025-08-18 12:10:00,3030.422554972412,3030.427630201407,3029.8489379515986,3029.856959986617,46179
2025-08-18 12:15:00,3029.856959986617,3029.873901855821,3029.2791296390046,3029.472507378981,43511
2025-08-18 12:20:00,3029.472507378981,3029.7556772870644,3028.5650736257185,3028.8173742153645,53392
2025-08-18 12:25:00,3028.8173742153645,3029.019150093577,3028.328321398347,3028.414280846859,52437
2025-08-18 12:30:00,3028.414280846859,3028.651299759428,3027.648003559886,3027.9154120822204,33422
2025-08-18 12:35:00,3027.9154120822204,3028.045778610983,3027.1975080661427,3027.481358285566,34445
2025-08-18 12:40:00,3027.481358285566,3027.6378864637363,3026.642213572286,3026.8975373701983,40286
2025-08-18 12:45:00,3026.8975373701983,3027.1966783714956,3026.122167474338,3026.327968231966,48179
2025-08-18 12:50:00,3026.327968231966,3026.601528740858,3026.2659642436433,3026.2816840273545,45404
2025-08-18 12:55:00,3026.2816840273545,3026.399718263947,3025.4280034414646,3025.6321182691704,53167
2025-08-18 13:00:00,3025.6321182691704,3025.7886077681624,3024.589978610259,3024.719897507829,19427
2025-08-18 13:05:00,3024.719897507829,3024.9343501749736,3024.2995135129586,3024.3249907656805,53225
2025-08-18 13:10:00,3024.3249907656805,3024.4151056519727,3023.947130812502,3024.066515363609,30593
2025-08-18 13:15:00,3024.066515363609,3024.083060015447,3023.8689645941026,3023.8871770056803,15359
2025-08-18 13:20:00,3023.8871770056803,3024.1809113508975,3022.9410884388544,3022.9919282465057,20126
2025-08-18 13:25:00,3022.9919282465057,3023.188648711167,3022.3426549135083,3022.4805731350225,24357
2025-08-18 13:30:00,3022.4805731350225,3022.74582152955,3021.7351877341703,3021.9619295541447,55657
2025-08-18 13:35:00,3021.9619295541447,3021.96617026322,3021.780757748285,3021.78575306617,53407
2025-08-18 13:40:00,3021.78575306617,3021.8597399102537,3021.4179502103057,3021.5700321367626,25467
2025-08-18 13:45:00,3021.5700321367626,3021.8680835244295,3020.4630135606913,3020.736908153192,44916
2025-08-18 13:50:00,3020.736908153192,3020.9853776896243,3020.5462336550986,3020.548998968419,50243
2025-08-18 13:55:00,3020.548998968419,3020.6026342627106,3019.2993953737796,3019.598317184379,31146
2025-08-18 14:00:00,3019.598317184379,3019.7931895426636,3019.260834053807,3019.2815285287743,27597
2025-08-18 14:05:00,3019.2815285287743,3019.370679948602,3018.93656604471,3019.0675069112417,56621
2025-08-18 14:10:00,3019.0675069112417,3019.201639427555,3017.9241013333494,3018.1165127655304,39681
2025-08-18 14:15:00,3018.1165127655304,3018.2440636800516,3017.789470591093,3017.7916642819996,38324
2025-08-18 14:20:00,3017.7916642819996,3017.998249922276,3017.1032065030845,3017.110860897646,21956
2025-08-18 14:25:00,3017.110860897646,3017.433167463584,3016.977213423941,3017.1595010236274,52350
2025-08-18 14:30:00,3017.1595010236274,3017.1740311337853,3016.2391172965395,3016.3196585472283,39925
2025-08-18 14:35:00,3016.3196585472283,3016.3806253128937,3015.709867335321,3016.007433487382,53731
